[2026-06-29 16:04:34] === 1/3 Google Places photos ===
Google enriching 5459 places (photos=True)
  3100/5459 — matched 1518, updated 1518, photos 1290
  3110/5459 — matched 1528, updated 1528, photos 1297
  3120/5459 — matched 1538, updated 1538, photos 1304
  3130/5459 — matched 1548, updated 1548, photos 1313
  3140/5459 — matched 1558, updated 1558, photos 1323
  3150/5459 — matched 1568, updated 1568, photos 1329
  3160/5459 — matched 1578, updated 1578, photos 1338
  3170/5459 — matched 1588, updated 1588, photos 1348
  3180/5459 — matched 1598, updated 1598, photos 1357
  3190/5459 — matched 1608, updated 1608, photos 1367
  3200/5459 — matched 1618, updated 1618, photos 1377
  3210/5459 — matched 1628, updated 1628, photos 1385
  3220/5459 — matched 1638, updated 1638, photos 1394
  3230/5459 — matched 1648, updated 1648, photos 1403
  3240/5459 — matched 1658, updated 1658, photos 1411
  3250/5459 — matched 1668, updated 1668, photos 1419
  3260/5459 — matched 1678, updated 1678, photos 1429
  3270/5459 — matched 1688, updated 1688, photos 1437
  3280/5459 — matched 1698, updated 1698, photos 1446
  3290/5459 — matched 1708, updated 1708, photos 1454
  3300/5459 — matched 1718, updated 1718, photos 1462
  3310/5459 — matched 1728, updated 1728, photos 1468
  3320/5459 — matched 1738, updated 1738, photos 1474
  3330/5459 — matched 1748, updated 1748, photos 1483
  3340/5459 — matched 1758, updated 1758, photos 1489
  3350/5459 — matched 1768, updated 1768, photos 1496
  3360/5459 — matched 1778, updated 1778, photos 1503
  3370/5459 — matched 1788, updated 1788, photos 1511
  3380/5459 — matched 1798, updated 1798, photos 1517
  3390/5459 — matched 1807, updated 1807, photos 1523
  3400/5459 — matched 1817, updated 1817, photos 1530
  3410/5459 — matched 1827, updated 1827, photos 1538
  3420/5459 — matched 1837, updated 1837, photos 1546
  3430/5459 — matched 1847, updated 1847, photos 1554
  3440/5459 — matched 1857, updated 1857, photos 1560
  3450/5459 — matched 1867, updated 1867, photos 1566
  3460/5459 — matched 1877, updated 1877, photos 1574
  3470/5459 — matched 1887, updated 1887, photos 1583
  3480/5459 — matched 1897, updated 1897, photos 1591
  3490/5459 — matched 1907, updated 1907, photos 1598
  3500/5459 — matched 1917, updated 1917, photos 1605
  3510/5459 — matched 1927, updated 1927, photos 1613
  3520/5459 — matched 1937, updated 1937, photos 1621
  3530/5459 — matched 1947, updated 1947, photos 1629
  3540/5459 — matched 1957, updated 1957, photos 1637
  3550/5459 — matched 1967, updated 1967, photos 1647
  3560/5459 — matched 1977, updated 1977, photos 1654
  3570/5459 — matched 1987, updated 1987, photos 1660
  3580/5459 — matched 1997, updated 1997, photos 1667
  3590/5459 — matched 2007, updated 2007, photos 1674
  3600/5459 — matched 2017, updated 2017, photos 1682
  3610/5459 — matched 2027, updated 2027, photos 1685
  3620/5459 — matched 2037, updated 2037, photos 1693
  3630/5459 — matched 2047, updated 2047, photos 1702
  3640/5459 — matched 2057, updated 2057, photos 1709
  3650/5459 — matched 2067, updated 2067, photos 1718
  3660/5459 — matched 2076, updated 2076, photos 1725
  3670/5459 — matched 2086, updated 2086, photos 1732
  3680/5459 — matched 2096, updated 2096, photos 1736
  3690/5459 — matched 2105, updated 2105, photos 1742
  3700/5459 — matched 2115, updated 2115, photos 1749
  3710/5459 — matched 2125, updated 2125, photos 1754
  3720/5459 — matched 2135, updated 2135, photos 1764
  3730/5459 — matched 2144, updated 2144, photos 1768
  3740/5459 — matched 2154, updated 2154, photos 1775
  3750/5459 — matched 2164, updated 2164, photos 1781
  3760/5459 — matched 2174, updated 2174, photos 1787
  3770/5459 — matched 2184, updated 2184, photos 1796
  3780/5459 — matched 2193, updated 2193, photos 1803
  3790/5459 — matched 2203, updated 2203, photos 1810
  3800/5459 — matched 2213, updated 2213, photos 1818
  3810/5459 — matched 2223, updated 2223, photos 1826
  3820/5459 — matched 2232, updated 2232, photos 1834
  3830/5459 — matched 2242, updated 2242, photos 1842
  3840/5459 — matched 2252, updated 2252, photos 1849
  3850/5459 — matched 2262, updated 2262, photos 1858
  3860/5459 — matched 2272, updated 2272, photos 1866
  3870/5459 — matched 2281, updated 2281, photos 1875
  3880/5459 — matched 2291, updated 2291, photos 1882
  3890/5459 — matched 2301, updated 2301, photos 1890
  3900/5459 — matched 2310, updated 2310, photos 1896
  3910/5459 — matched 2320, updated 2320, photos 1904
  3920/5459 — matched 2330, updated 2330, photos 1913
  3930/5459 — matched 2339, updated 2339, photos 1917
  3940/5459 — matched 2348, updated 2348, photos 1924
  3950/5459 — matched 2358, updated 2358, photos 1929
  3960/5459 — matched 2368, updated 2368, photos 1937
  3970/5459 — matched 2378, updated 2378, photos 1945
  3980/5459 — matched 2388, updated 2388, photos 1953
  3990/5459 — matched 2398, updated 2398, photos 1959
  4000/5459 — matched 2408, updated 2408, photos 1964
  4010/5459 — matched 2418, updated 2418, photos 1974
  4020/5459 — matched 2427, updated 2427, photos 1981
  4030/5459 — matched 2437, updated 2437, photos 1989
  4040/5459 — matched 2447, updated 2447, photos 1996
  4050/5459 — matched 2457, updated 2457, photos 2003
  4060/5459 — matched 2467, updated 2467, photos 2009
  4070/5459 — matched 2476, updated 2476, photos 2017
  4080/5459 — matched 2486, updated 2486, photos 2024
  4090/5459 — matched 2496, updated 2496, photos 2033
  4100/5459 — matched 2506, updated 2506, photos 2040
  4110/5459 — matched 2516, updated 2516, photos 2047
