id,name,folder,flag_count,flags,website,coord_precision
30c7904a654c,Anoma Cultural Association,BuddhaNet (Bangladesh),5,"bad_website,stacked_coords,missing_description,missing_photo,missing_hours","http://mapof.it/EUREKA,Flat#4A",unknown
1b055b4d7932,Aranya Giman Hala Charitable Trust,BuddhaNet (Sri Lanka),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/'ARANA,address
ce2875ad7067,Arcata Zen Group,BuddhaNet (United States of America),2,"missing_description,missing_hours",https://arcatazengroup.org/,address
24cdc370bcac,Ari Bhöd,Tibetan,2,"missing_description,missing_hours",http://aribhod.org/about-ari-bhod/,address
fb0d3f99d121,Arizona Buddhist Fellowship,BuddhaNet (United States of America),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/1827,unknown
f2a4d8785c76,Arizona Buddhist Temple,"Pure Land, Soka Gakkai, Jodo Shin",2,"missing_description,missing_hours",http://www.azbuddhisttemple.org/,address
ca80fcf9107a,Arizona International Buddhist Meditation Center INCORPORATION,"Insight, Theravada, Vipassanna",2,"missing_description,missing_hours",http://www.meditationforyou.org/index.php#con,address
648cd42da939,Armidale Meditation Group,BuddhaNet (Australia),3,"missing_description,missing_photo,missing_hours",https://heidelbergpresbyterian.org.au/,unknown
439828d224b6,Arunachal Pali Vidyapith,BuddhaNet (India),1,missing_description,http://www.apvschongkham.com/,address
ccce2473a596,Aryaloka Buddhist Retreat Center,Other Buddhist Centers,1,missing_description,http://www.aryaloka.org/,address
aac25c9b98a2,Aryapala Meditation and Initation Centre,BuddhaNet (Mongolia),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Baruun,unknown
720af2bb7176,Asheville Shambhala Meditation Group,BuddhaNet (United States of America),3,"missing_description,missing_photo,missing_hours",https://www.tparkerchurch.org/,unknown
ff801ca4b672,Asheville Vipassana Group,BuddhaNet (United States of America),5,"missing_phone,bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Robert,unknown
0ebc7cc94150,ASHOK KANCHAN BOUDDHA VIHAR FOUNDATION & RESEARCH WELFARE SAMITI,BuddhaNet (India),5,"missing_phone,bad_website,missing_description,missing_photo,missing_hours","http://mapof.it/53,Mahavir",unknown
a8f848195c1f,"Ashoka Vihara, Rima",BuddhaNet (India),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Village-,unknown
3ab0b250b6a5,Ashoka-Buddhvihar,BuddhaNet (India),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Annanaga,unknown
c923ed288987,Ashokacharumati Buddha Vihara,BuddhaNet (Nepal),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Bhagawansthan-Chabahil,unknown
7b4bc6ad87e5,Ashwaghosha Buddhists Foundation (India),BuddhaNet (India),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Jeewak,unknown
f39e70b9413f,Asian Buddhist Conference for Peace,BuddhaNet (Mongolia),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/C/o,unknown
7d9af60ea18c,Asian Buddhist Cultural Centre,BuddhaNet (India),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Behind,unknown
194cecf63497,Asian-American Meditation Center,BuddhaNet (United States of America),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/State,unknown
3d87eb6af32c,AsociaciÃ³n Amigos del Budismo Theravada,BuddhaNet (Argentina),6,"missing_phone,bad_website,encoding_error,missing_description,missing_photo,missing_hours",http://mapof.it/celtibero2000ac,unknown
7313f9ed99d5,AsociaciÃ³n Zen de MedellÃ­n,BuddhaNet (Colombia),4,"encoding_error,missing_description,missing_photo,missing_hours",https://www.instagram.com/ipucelpobladomedellin/,unknown
6b96c8d4af26,Asoka Mission Vihar,BuddhaNet (India),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Mehrauli,unknown
2382a2474ee7,Association Bouddhique Khmère,BuddhaNet (Belgium),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/Vatt,unknown
4d2dad5ce4da,Association Bouddhiste Lao du Bas-Rhin,BuddhaNet (France),5,"bad_website,stacked_coords,missing_description,missing_photo,missing_hours",http://mapof.it/Clasbec,unknown
4a824115a0fc,Association Bouddhiste Lao du Nord de la France,BuddhaNet (France),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/214,unknown
4ad4e43d7df6,Association de Developpement des Valeurs Humaines,BuddhaNet (Mali),3,"bad_website,missing_description,missing_hours",http://mapof.it/Rue,address
48d3f1404097,Association des Bouddhistes de Linh Son,BuddhaNet (Belgium),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/88,unknown
465ea5308461,Association Dzogchen in Switzerland,BuddhaNet (Switzerland),4,"missing_phone,missing_description,missing_photo,missing_hours",https://www.petrus-kirche.ch/,unknown
571e11077dd5,Association L'École de la Forêt,BuddhaNet (France),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/278,unknown
53589adbab0f,Association Padma Ling,BuddhaNet (France),5,"bad_website,encoding_error,missing_description,missing_photo,missing_hours",http://mapof.it/116-118,unknown
e323a3b3c2d7,Association Yeshe Korlo Suisse,BuddhaNet (Switzerland),5,"missing_phone,bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/1814,unknown
2cfc4f7e199a,Association Zen De Montaigu,BuddhaNet (France),6,"bad_website,stacked_coords,encoding_error,missing_description,missing_photo,missing_hours",http://mapof.it/La,unknown
91e8c0293fc7,Associazone per la meditazione di consapevolezza (a.me.co),BuddhaNet (Italy),3,"missing_description,missing_photo,missing_hours",https://www.parrocchiatraspontina.it/,unknown
c1d950935302,Associazone Santacittarama,BuddhaNet (Italy),1,missing_description,http://www.santacittarama.org/,address
8df86d9c2002,Associação Vipassana Portugal,Goenka Vipassana (dhamma.org),5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,unknown
b7930430f078,Atammayatarama Buddhist Monastery,"Insight, Theravada, Vipassanna",2,"missing_description,missing_hours",https://www.atamma.org/,address
358aef87bff8,Ati Ling,Tibetan,2,"missing_description,missing_hours",http://atiling.org/,address
ca49f1ce77c0,Atlanta Buddhist Association,BuddhaNet (United States of America),4,"bad_website,missing_description,missing_photo,missing_hours",http://mapof.it/5383-D,address
9d518e07a3dd,Atlanta Dhamma House,"Insight, Theravada, Vipassanna",5,"missing_phone,missing_website,missing_description,missing_photo,missing_hours",,address
17516f1a02b6,Atlanta Dhamma House,Goenka Vipassana (dhamma.org),4,"missing_phone,missing_description,missing_photo,missing_hours",https://www.catholicshrineatlanta.org/,unknown
55b6f07ff07a,Atlantic Canada Vipassana Meditation,Goenka Vipassana (dhamma.org),1,missing_description,http://www.suttama.dhamma.org/,address
9d153d0e87b4,Atlantic Chan Buddhist Assocation,BuddhaNet (Canada),2,"missing_description,missing_hours",https://ccf.gcichurches.org/,address
